47,ExteriorColor,char,0,0,Exterior Color
48,InteriorColor,char,0,0,Interior Color
49,Page Number,number,0,0,
50,JobDescription,char,0,0,Job Description
51,SBCess,number,0,0,Swachh Bharat Cess
52,InvoiceNumber,number,1,0,Invoice Number
53,Fax,number,0,0,FaxNo
54,Total,number,1,0,Grand Total
55,Address,char,0,0,
56,WorkSite,char,0,0,Work Site
57,SalesPerson,char,0,0,
58,Brand,char,0,0,Brand
59,Website,char,0,0,Website Address
60,EmailAddress,char,0,0,Email address
61,MatterNumber,char,0,0,Matter Number
62,RegdOffice,char,0,0,Regd Office
63,Terms,char,0,0,Payment Terms
64,EstNo,number,0,0,Est No
65,EstDate,number,0,0,Est Date
66,CampaignName,char,0,0,Campaign Name
67,ServiceTax,number,0,0,Service Tax
68,AgencyCommission,number,0,0,Agency Commission
69,BeneficiaryName,char,0,0,Beneficiary Name
70,Sub Brand,char,0,0,
71,PANNo,number,0,0,PAN NO
72,Credit,char,0,0,Credit
73,CINNo,number,0,0,CIN No
74,SwiftCode,number,0,1,Swift Code
75,CustName,char,0,1,
76,Telephone,number,0,0,Telephone
77,BankName,char,0,0,Bank Name
78,Price,number,0,0,Price
79,Qty,number,0,0,Quantity
80,Description,char,0,0,Description
81,GLCode,number,0,0,GL Code
82,SoldTo,char,0,0,Sold To
83,ABN,char,0,0,ABN number
84,Phone,number,0,0,Phone no
85,Regarding,char,0,0,Regarding
86,RequestingManager,char,0,0,Requesting Manager
87,InvoiceDate,number,0,0,Invoice Date
88,DueDate,number,0,0,Due Date
89,AccNo,number,0,0,Account Number
90,BSB,number,0,0,BSB No
91,AccName,char,0,0,Account Name
92,SubTotal,number,0,0,Sub Total before tax
93,Tax,number,0,0,Tac amounts
94,PurchaseNo,number,0,0,Purchase number
95,ShipTo,char,0,0,
96,BranchOffice,char,0,0,Branch Office
97,IFSCCode,number,0,0,IFSC Code
98,CentralisedBillingAndAccOffice,char,0,0,Centralised Billing and Accounting Office
99,ServiceTaxCategory,char,0,0,Service Tax Category
100,ServiceTaxRegnNo,number,0,0,Service Tax Regn No
101,Branch,char,0,0,Branch
168,StartDate,char,0,0,Start Date of Minimum payment period per service component
169,ZipCode,number,0,0,Zip Code
170,ServiceComponents,char,0,0,Service Components
171,ExistingCircuitIds,number,0,0,existing circuit ids
172,SignedDate,number,0,0,Signed Date
173,StateProvince,char,0,0,State Province
174,Attention,char,0,0,Attention
175,Country,char,0,0,Country
176,ReferenceNo,number,0,0,Reference No
177,PreExistingContractNo,number,0,0,Pre Existing Contract No
178,AccNo,number,0,0,AccountNumber
179,PercMonthlyFee,char,0,0,Percentage of Monthly Fee
180,Customer,char,0,0,Customer
