12,inspection
13,vin
14,repair
15,estimates
16,policy
17,qty
18,excluding
19,bank
20,cost
21,credit
22,taxable
23,task
24,shipped
25,ship
26,salesperson
27,handling
28,gst
29,client
30,order
31,receipt
32,draft
33,payment
34,fees
35,offer
36,claim
37,report
38,invoice
39,total
40,settlement
41,services
42,amount
43,brand
44,terms
45,tax
46,purchase
47,due
48,acct
49,account
50,campaign
51,letter
52,invitation
53,attn
54,sincerely
55,insurance
56,patient
57,disability
58,health
59,adjuster
60,division
61,investigating
62,attorney
63,power
64,principal
65,designation
66,authority
67,agreement
68,contract
69,pricing
70,provider
71,schedule
72,branch
73,solution
74,authorized
75,sales
1,statement
2,balance
3,capital
4,shipment
5,flag
6,lading
7,master
8,shipper
9,consignee
10,voyage
11,loading
