20,17
21,18
22,19
23,20
24,21
25,22
26,23
27,24
28,25
29,26
30,27
31,28
32,29
33,30
34,31
35,32
36,33
37,34
38,35
39,36
40,37
41,38
42,39
43,40
44,41
45,42
46,43
47,43
48,44
49,45
50,46
51,47
52,48
53,49
54,50
55,51
56,51
57,51
58,52
59,52
60,52
61,52
62,52
63,52
64,52
65,54
66,54
67,54
68,54
69,54
70,55
71,55
72,56
73,58
74,59
75,60
76,60
77,61
78,61
79,62
80,63
81,63
82,64
83,64
84,65
85,65
86,66
87,67
88,68
89,69
90,70
91,71
92,72
93,73
94,74
95,75
96,75
97,75
98,76
99,76
100,77
101,77
102,78
103,79
104,80
105,81
106,82
107,83
108,85
109,85
110,86
111,87
112,87
113,87
114,88
115,89
116,89
117,89
118,90
119,91
120,91
121,92
122,92
123,92
124,93
125,93
126,94
127,94
128,94
129,94
130,94
131,95
132,96
133,97
134,98
135,99
136,100
137,101
138,101
28,53
30,84
139,102
140,103
141,104
142,105
143,106
144,107
145,108
146,109
147,110
148,111
149,112
150,113
151,114
152,115
153,116
154,117
155,118
156,119
157,120
158,121
159,122
160,123
161,124
162,125
163,126
164,126
165,126
166,128
167,129
168,129
169,129
170,129
171,130
172,131
173,132
174,133
175,134
176,135
177,136
178,137
179,138
180,139
181,139
182,139
183,140
184,141
185,142
186,143
187,144
188,145
189,146
190,147
191,148
192,149
99,126
28,127
193,150
194,151
195,152
196,153
197,154
198,156
199,157
200,160
201,161
202,162
203,162
204,163
205,164
206,165
207,166
208,167
97,150
113,155
170,157
38,158
47,159
209,168
210,169
211,169
212,170
213,171
214,173
1,3
2,3
3,3
4,3
5,4
6,4
7,5
8,6
9,7
10,8
11,9
12,10
13,11
14,11
15,12
16,13
17,14
18,15
19,16
215,175
216,176
217,176
218,176
219,176
220,177
221,178
222,179
223,180
224,186
225,189
226,190
227,191
228,191
229,193
230,194
231,195
232,196
233,197
234,198
235,199
236,199
237,200
238,201
113,172
139,174
208,185
171,187
142,188
76,192
28,193
99,193
